transacao_id,cliente_id,data_compra,valor_compra,meio_pagamento,campanha
1,398,2022-01-01,161,cartão,sem_campanha
2,583,2022-01-02,116,boleto,sem_campanha
3,726,2022-01-03,173,cartão,dia_pais
4,435,2022-01-04,148,cartão,volta_as_aulas
5,577,2022-01-05,21,cartão,dia_pais
6,221,2022-01-06,121,cartão,sem_campanha
7,308,2022-01-07,119,cartão,ano_novo
8,991,2022-01-08,183,boleto,black_friday
9,798,2022-01-09,184,cartão,ano_novo
10,697,2022-01-10,66,cartão,black_friday
11,719,2022-01-11,171,cartão,dia_maes
12,466,2022-01-12,146,cartão,volta_as_aulas
13,99,2022-01-13,156,cartão,ano_novo
14,242,2022-01-14,119,boleto,sem_campanha
15,158,2022-01-15,146,cartão,sem_campanha
16,610,2022-01-16,207,cartão,black_friday
17,554,2022-01-17,155,cartão,ano_novo
18,651,2022-01-18,147,boleto,sem_campanha
19,795,2022-01-19,126,cartão,dia_maes
20,920,2022-01-20,202,cartão,sem_campanha
21,227,2022-01-21,85,cartão,sem_campanha
22,423,2022-01-22,109,pix,sem_campanha
23,72,2022-01-23,83,cartão,dia_pais
24,243,2022-01-24,160,cartão,sem_campanha
25,530,2022-01-25,208,boleto,sem_campanha
26,589,2022-01-26,133,cartão,sem_campanha
27,45,2022-01-27,96,cartão,dia_pais
28,472,2022-01-28,231,cartão,sem_campanha
29,371,2022-01-29,172,cartão,dia_pais
30,855,2022-01-30,163,cartão,dia_maes
31,652,2022-01-31,140,pix,ano_novo
32,689,2022-02-01,183,boleto,sem_campanha
33,734,2022-02-02,163,boleto,sem_campanha
34,927,2022-02-03,125,cartão,sem_campanha
35,92,2022-02-04,134,cartão,volta_as_aulas
36,22,2022-02-05,99,cartão,dia_pais
37,172,2022-02-06,92,cartão,sem_campanha
38,604,2022-02-07,135,cartão,ano_novo
39,192,2022-02-08,207,cartão,sem_campanha
40,77,2022-02-09,98,cartão,volta_as_aulas
41,281,2022-02-10,191,cartão,sem_campanha
42,364,2022-02-11,110,pix,sem_campanha
43,179,2022-02-12,60,cartão,dia_pais
44,238,2022-02-13,177,cartão,black_friday
45,135,2022-02-14,231,cartão,dia_maes
46,877,2022-02-15,107,cartão,sem_campanha
47,902,2022-02-16,71,cartão,sem_campanha
48,280,2022-02-17,172,cartão,sem_campanha
49,19,2022-02-18,103,cartão,dia_pais
50,595,2022-02-19,176,cartão,sem_campanha
51,740,2022-02-20,207,boleto,sem_campanha
52,371,2022-02-21,166,cartão,natal
53,777,2022-02-22,190,cartão,sem_campanha
54,112,2022-02-23,190,cartão,dia_pais
55,763,2022-02-24,199,cartão,dia_pais
56,676,2022-02-25,152,boleto,dia_pais
57,870,2022-02-26,188,cartão,black_friday
58,680,2022-02-27,158,cartão,sem_campanha
59,221,2022-02-28,169,cartão,dia_maes
60,920,2022-03-01,302,boleto,sem_campanha
